<<<<<<< HEAD
<<<<<<< HEAD
create_date:2022-03-15
=======
<<<<<<< HEAD
create_date:2022-03-01
=======
create_date:2022-03-15
>>>>>>> update to fix missing value errors in LS1 & LS2
>>>>>>> debb0bfe9db9a6f2b93f141daa46fbebcceeaf74
=======
create_date:2022-03-01
>>>>>>> 4de3018b5f64f062ab46a1f717d50e650725708a
SITE_ID,VARIABLE,BASENAME,GAP_FILLED,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
AR-TF1,CO2,CO2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913308287795993,0.951541095890411,0.318264840182648,0,0,0
AR-TF1,FC,FC,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876536885245902,0.907933789954338,0.304908675799087,0,0,0
AR-TF1,FC_SSITC_TEST,FC_SSITC_TEST,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876536885245902,0.907933789954338,0.304908675799087,0,0,0
AR-TF1,H,H,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87665072859745,0.907933789954338,0.304908675799087,0,0,0
AR-TF1,H_SSITC_TEST,H_SSITC_TEST,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87665072859745,0.907933789954338,0.304908675799087,0,0,0
AR-TF1,LE,LE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876366120218579,0.907876712328767,0.304908675799087,0,0,0
AR-TF1,LE_SSITC_TEST,LE_SSITC_TEST,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876366120218579,0.907876712328767,0.304908675799087,0,0,0
AR-TF1,PA,PA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913422131147541,0.951598173515982,0.318264840182648,0,0,0
AR-TF1,PPFD_IN,PPFD_IN,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916325136612022,0.969063926940639,0.374315068493151,0,0,0
AR-TF1,RH,RH,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916325136612022,0.969063926940639,0.374315068493151,0,0,0
AR-TF1,SW_IN,SW_IN,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916325136612022,0.969063926940639,0.374315068493151,0,0,0
