create_date:2021-03-09
SITE_ID,COUNTRY,DOI,DOI_CITATION,DOI_DATAPRODUCT,DOI_CONTRIBUTOR_DATAPRODUCT,DOI_CONTRIBUTOR_DATE_END,DOI_CONTRIBUTOR_DATE_START,DOI_CONTRIBUTOR_EMAIL,DOI_CONTRIBUTOR_INSTITUTION,DOI_CONTRIBUTOR_NAME,DOI_CONTRIBUTOR_ORCID,DOI_CONTRIBUTOR_ORDINAL,DOI_CONTRIBUTOR_ROLE,DOI_ORGANIZATION,DOI_ORGANIZATION_ROLE,FLUX_MEASUREMENTS_COMMENT,FLUX_MEASUREMENTS_DATE_END,FLUX_MEASUREMENTS_DATE_START,FLUX_MEASUREMENTS_METHOD,FLUX_MEASUREMENTS_OPERATIONS,FLUX_MEASUREMENTS_VARIABLE,SITE_NAME,IGBP,IGBP_COMMENT,IGBP_DATE_START,LAND_OWNER,LAND_OWNERSHIP,LOCATION_COMMENT,LOCATION_DATE_START,LOCATION_ELEV,LOCATION_LAT,LOCATION_LONG,NETWORK,REFERENCE_DOI,REFERENCE_PAPER,REFERENCE_USAGE,RESEARCH_TOPIC,SHIPPING_ADDRESS,ASPECT,SITE_SNOW_COVER_DAYS,SURFACE_HOMOGENEITY,TERRAIN,WIND_DIRECTION,SITE_DESC,SITE_FUNDING,TEAM_MEMBER_ADDRESS,TEAM_MEMBER_EMAIL,TEAM_MEMBER_INSTITUTION,TEAM_MEMBER_NAME,TEAM_MEMBER_ROLE,TOWER_POWER,TOWER_TYPE,URL_AMERIFLUX,UTC_OFFSET,UTC_OFFSET_COMMENT,UTC_OFFSET_DATE_START,CLIMATE_KOEPPEN,MAP,MAT,ACKNOWLEDGEMENT,ACKNOWLEDGEMENT_COMMENT,DOM_DIST_MGMT,STATE,URL,BIOMASS_C,BIOMASS_CN_RATIO,BIOMASS_COMMENT,BIOMASS_DATE,BIOMASS_N,BIOMASS_N_SPATIAL_VARIABILITY,BIOMASS_ORGAN,BIOMASS_PHEN,BIOMASS_SPP,HEIGHTC,HEIGHTC_APPROACH,HEIGHTC_COMMENT,HEIGHTC_DATE,HEIGHTC_DATE_UNC,HEIGHTC_SPATIAL_VARIABILITY,HEIGHTC_STATISTIC,HEIGHTC_STATISTIC_NUMBER,HEIGHTC_STATISTIC_TYPE,HEIGHTC_VEGTYPE,LAI,LAI_APPROACH,LAI_CANOPY_TYPE,LAI_CLUMP,LAI_COMMENT,LAI_DATE,LAI_DATE_UNC,LAI_METHOD,LAI_O_DEC,LAI_O_DEC_SPATIAL_REP_NUMBER,LAI_O_DEC_SPATIAL_VARIABILITY,LAI_O_EVG,LAI_O_EVG_SPATIAL_VARIABILITY,LAI_STATISTIC,LAI_STATISTIC_NUMBER,LAI_STATISTIC_TYPE,LAI_TOT,LAI_TOT_SPATIAL_REP_NUMBER,LAI_TOT_SPATIAL_VARIABILITY,LAI_TYPE,LAI_U,LAI_U_SPATIAL_REP_NUMBER,LAI_U_SPATIAL_VARIABILITY,LAI_VEGTYPE,NEP,NEP_APPROACH,NEP_COMMENT,NEP_DATE_END,NEP_DATE_START,NEP_SPATIAL_VARIABILITY,SOIL_CHEM_BD,SOIL_CHEM_BD_SPATIAL_REP_NUMBER,SOIL_CHEM_BD_SPATIAL_VARIABILITY,SOIL_CHEM_C_ORG,SOIL_CHEM_C_ORG_SPATIAL_VARIABILITY,SOIL_CHEM_COMMENT,SOIL_CHEM_DATE,SOIL_CHEM_DATE_UNC,SOIL_CHEM_HORIZON,SOIL_CHEM_N_TOT,SOIL_CHEM_N_TOT_SPATIAL_VARIABILITY,SOIL_CHEM_PH_H2O,SOIL_CHEM_PH_SALT,SOIL_CHEM_PH_SALT_SPATIAL_VARIABILITY,SOIL_CHEM_PROFILE_MAX,SOIL_CHEM_PROFILE_MIN,SOIL_CHEM_PROFILE_ZERO_REF,SOIL_CLASSIFICATION,SOIL_CLASSIFICATION_COMMENT,SOIL_CLASSIFICATION_TAXONOMY,SOIL_DEPTH,SOIL_DEPTH_COMMENT,SOIL_DEPTH_DATE,SOIL_TEX_CLAY,SOIL_TEX_COMMENT,SOIL_TEX_DATE,SOIL_TEX_HORIZON,SOIL_TEX_PROFILE_MAX,SOIL_TEX_PROFILE_MIN,SOIL_TEX_ROCK,SOIL_TEX_ROCK_SPATIAL_VARIABILITY,SOIL_TEX_SAND,SOIL_TEX_SILT,SOIL_TEX_WATER_HOLD_CAP,SPP_APPROACH,SPP_COMMENT,SPP_DATE,SPP_DATE_UNC,SPP_O,SPP_O_PERC,AG_BIOMASS_APPROACH,AG_BIOMASS_COMMENT,AG_BIOMASS_DATE,AG_BIOMASS_DATE_UNC,AG_BIOMASS_OTHER,AG_BIOMASS_OTHER_ORGAN,AG_BIOMASS_OTHER_PHEN,AG_BIOMASS_OTHER_SPATIAL_REP_NUMBER,AG_BIOMASS_OTHER_SPATIAL_VARIABILITY,AG_BIOMASS_OTHER_UNIT,AG_BIOMASS_SHRUB,AG_BIOMASS_SHRUB_ORGAN,AG_BIOMASS_SHRUB_PHEN,AG_BIOMASS_SHRUB_SPATIAL_REP_NUMBER,AG_BIOMASS_SHRUB_SPATIAL_VARIABILITY,AG_BIOMASS_SHRUB_UNIT,AG_BIOMASS_TREE,AG_BIOMASS_TREE_ORGAN,AG_BIOMASS_TREE_PHEN,AG_BIOMASS_TREE_SPATIAL_REP_NUMBER,AG_BIOMASS_TREE_SPATIAL_VARIABILITY,AG_BIOMASS_TREE_UNIT,AG_LIT_BIOMASS,AG_LIT_BIOMASS_APPROACH,AG_LIT_BIOMASS_COMMENT,AG_LIT_BIOMASS_DATE,AG_LIT_BIOMASS_DATE_UNC,AG_LIT_BIOMASS_SPATIAL_REP_NUMBER,AG_LIT_BIOMASS_SPATIAL_VARIABILITY,AG_LIT_BIOMASS_UNIT,AG_LIT_PROD_APPROACH,AG_LIT_PROD_COMMENT,AG_LIT_PROD_DATE_END,AG_LIT_PROD_DATE_START,AG_LIT_PROD_DATE_UNC,AG_LIT_PROD_TOT,AG_LIT_PROD_TOT_SPATIAL_REP_NUMBER,AG_LIT_PROD_TOT_SPATIAL_VARIABILITY,AG_LIT_PROD_UNIT,DM_COMMENT,DM_DATE,DM_DATE_END,DM_DATE_START,DM_PLANTING,DM_SURF,DM_SURF_MEAS_UNC,LMA,LMA_COMMENT,LMA_DATE,LMA_SPATIAL_VARIABILITY,LMA_SPP,PHEN_EVENT_APPROACH,PHEN_EVENT_COMMENT,PHEN_EVENT_DATE,PHEN_EVENT_DATE_SPATIAL_REP_NUMBER,PHEN_EVENT_DATE_SPATIAL_VARIABILITY,PHEN_EVENT_DATE_UNC,PHEN_EVENT_SPP,PHEN_EVENT_STATUS,PHEN_EVENT_TYPE,ROOT_BIOMASS_APPROACH,ROOT_BIOMASS_COMMENT,ROOT_BIOMASS_CRS,ROOT_BIOMASS_CRS_SPATIAL_REP_NUMBER,ROOT_BIOMASS_CRS_SPATIAL_VARIABILITY,ROOT_BIOMASS_DATE,ROOT_BIOMASS_DATE_UNC,ROOT_BIOMASS_FINE,ROOT_BIOMASS_FINE_SPATIAL_REP_NUMBER,ROOT_BIOMASS_FINE_SPATIAL_VARIABILITY,ROOT_BIOMASS_PROFILE_MAX,ROOT_BIOMASS_PROFILE_MIN,ROOT_BIOMASS_PROFILE_ZERO_REF,ROOT_BIOMASS_TOT,ROOT_BIOMASS_TOT_SPATIAL_REP_NUMBER,ROOT_BIOMASS_TOT_SPATIAL_VARIABILITY,ROOT_BIOMASS_UNIT,SA,SA_APPROACH,SA_COMMENT,SA_DATE,SA_DATE_UNC,SA_MAX,SNAG_MASS,SNAG_MASS_APPROACH,SNAG_MASS_COMMENT,SNAG_MASS_DATE,SNAG_MASS_DATE_UNC,SNAG_MASS_SPATIAL_REP_NUMBER,SNAG_MASS_SPATIAL_VARIABILITY,SNAG_MASS_UNIT,SPP_U,SPP_U_PERC,STUMP_MASS,STUMP_MASS_APPROACH,STUMP_MASS_COMMENT,STUMP_MASS_DATE,STUMP_MASS_SPATIAL_REP_NUMBER,STUMP_MASS_SPATIAL_VARIABILITY,STUMP_MASS_UNIT,WD_BIOMASS_APPROACH,WD_BIOMASS_COMMENT,WD_BIOMASS_CRS,WD_BIOMASS_CRS_SPATIAL_REP_NUMBER,WD_BIOMASS_CRS_SPATIAL_VARIABILITY,WD_BIOMASS_DATE,WD_BIOMASS_DATE_UNC,WD_BIOMASS_FINE,WD_BIOMASS_FINE_SPATIAL_REP_NUMBER,WD_BIOMASS_FINE_SPATIAL_VARIABILITY,WD_BIOMASS_UNIT,DM_DATE_UNC,DM_FORESTRY,AG_LIT_C,AG_LIT_CN_RATIO,AG_LIT_COMMENT,AG_LIT_DATE,AG_LIT_N,DM_GRAZE,AMF_VAR_AGG_COMMENT,AMF_VAR_AGG_MEMBERS,AMF_VAR_AGG_METHOD,AMF_VAR_AGG_VARNAME,AG_PROD_APPROACH,AG_PROD_COMMENT,AG_PROD_DATE_END,AG_PROD_DATE_START,AG_PROD_OTHER,AG_PROD_OTHER_ORGAN,AG_PROD_OTHER_SPATIAL_VARIABILITY,AG_PROD_OTHER_UNIT,AG_PROD_SHRUB,AG_PROD_SHRUB_ORGAN,AG_PROD_SHRUB_SPATIAL_VARIABILITY,AG_PROD_SHRUB_UNIT,AG_PROD_DATE_UNC,AG_PROD_TREE,AG_PROD_TREE_ORGAN,AG_PROD_TREE_SPATIAL_REP_NUMBER,AG_PROD_TREE_SPATIAL_VARIABILITY,AG_PROD_TREE_UNIT,DM_FIRE,DM_GENERAL,ROOT_C,ROOT_CN_RATIO,ROOT_COMMENT,ROOT_DATE,ROOT_N,ROOT_SPP,ROOT_PROD_APPROACH,ROOT_PROD_COMMENT,ROOT_PROD_CRS,ROOT_PROD_DATE_END,ROOT_PROD_DATE_START,ROOT_PROD_FINE,ROOT_PROD_FINE_SPATIAL_VARIABILITY,ROOT_PROD_PROFILE_MAX,ROOT_PROD_PROFILE_MIN,ROOT_PROD_TOT,ROOT_PROD_UNIT,DM_INS_PATH,N_DEP_COMMENT,N_DEP_DRY,N_DEP_WET,DOI_RELATED_DATA_DOI,AG_BIOMASS_CROP,AG_BIOMASS_CROP_ORGAN,AG_BIOMASS_CROP_PHEN,AG_BIOMASS_CROP_UNIT,DM_AGRICULTURE,DM_FERT_M,DM_PESTICIDE,DM_TILL,AG_PROD_CROP,AG_PROD_CROP_ORGAN,AG_PROD_CROP_UNIT,INST_ASPIRATION,INST_AVERAGING_INT,INST_COMMENT,INST_DATE,INST_DATE_UNC,INST_FIRMWARE,INST_GA_CP_FILTERS,INST_GA_CP_FLOW_RATE,INST_GA_CP_MFC,INST_GA_CP_TUBE_IN_DIAM,INST_GA_CP_TUBE_LENGTH,INST_GA_CP_TUBE_MAT,INST_GA_CP_TUBE_THERM,INST_GA_OP_AZIM_MOUNT,INST_GA_OP_VERT_MOUNT,INST_HEAT,INST_MODEL,INST_SA_GILL_ALIGN,INST_SA_OFFSET_NORTH,INST_SA_WIND_FORMAT,INST_SAMPLING_INT,INST_SHIELDING,INST_SN,INSTPAIR_COMMENT,INSTPAIR_DATE,INSTPAIR_DATE_UNC,INSTPAIR_EASTWARD_SEP,INSTPAIR_HEIGHT_SEP,INSTPAIR_MODEL_1,INSTPAIR_MODEL_2,INSTPAIR_NORTHWARD_SEP,INSTPAIR_SN_1,INSTPAIR_SN_2,DM_EXT_WEATHER,DM_ENCROACH,BASAL_AREA,BASAL_AREA_APPROACH,BASAL_AREA_COMMENT,BASAL_AREA_DATE,BASAL_AREA_DATE_UNC,BASAL_AREA_SPATIAL_REP_NUMBER,BASAL_AREA_SPATIAL_VARIABILITY,BASAL_AREA_SPP,DBH,DBH_APPROACH,DBH_COMMENT,DBH_DATE,DBH_DATE_UNC,DBH_HEIGHT,DBH_SPATIAL_REP_NUMBER,DBH_SPATIAL_VARIABILITY,DBH_SPP,SOIL_STOCK_C_ORG,SOIL_STOCK_COMMENT,SOIL_STOCK_DATE,SOIL_STOCK_HORIZON,SOIL_STOCK_N_TOT,SOIL_STOCK_PROFILE_MAX,SOIL_STOCK_PROFILE_MIN,SWC,SWC_APPROACH,SWC_DATE,SWC_PROFILE_MAX,SWC_PROFILE_MIN,SWC_PROFILE_ZERO_REF,SWC_SPATIAL_REP_NUMBER,SWC_SPATIAL_VARIABILITY,SWC_UNIT,TREES_NUM,TREES_NUM_APPROACH,TREES_NUM_COMMENT,TREES_NUM_DATE,TREES_NUM_DATE_UNC,TREES_NUM_SPATIAL_REP_NUMBER,TREES_NUM_SPATIAL_VARIABILITY,TREES_NUM_SPP,DM_WATER,BG_LIT_PROD,BG_LIT_PROD_APPROACH,BG_LIT_PROD_COMMENT,BG_LIT_PROD_DATE_END,BG_LIT_PROD_DATE_START,BG_LIT_PROD_DATE_UNC,BG_LIT_PROD_PROFILE_MAX,BG_LIT_PROD_PROFILE_MIN,BG_LIT_PROD_PROFILE_ZERO_REF,BG_LIT_PROD_SPATIAL_REP_NUMBER,BG_LIT_PROD_SPATIAL_VARIABILITY,BG_LIT_PROD_UNIT,STEM_INCR,STEM_INCR_APPROACH,STEM_INCR_COMMENT,STEM_INCR_DATE_END,STEM_INCR_DATE_START,STEM_INCR_DATE_UNC,STEM_INCR_DIAM,STEM_INCR_NUM,STEM_INCR_SPATIAL_REP_NUMBER,STEM_INCR_SPATIAL_VARIABILITY,WD_PROD_APPROACH,WD_PROD_COMMENT,WD_PROD_CRS,WD_PROD_CRS_SPATIAL_REP_NUMBER,WD_PROD_CRS_SPATIAL_VARIABILITY,WD_PROD_DATE_END,WD_PROD_DATE_START,WD_PROD_DATE_UNC,WD_PROD_FINE,WD_PROD_FINE_SPATIAL_REP_NUMBER,WD_PROD_FINE_SPATIAL_VARIABILITY,WD_PROD_UNIT,AG_BIOMASS_GRASS,AG_BIOMASS_GRASS_ORGAN,AG_BIOMASS_GRASS_PHEN,AG_BIOMASS_GRASS_SPATIAL_VARIABILITY,AG_BIOMASS_GRASS_UNIT,TEAM_CONTACT_EMAIL,TEAM_CONTACT_NAME
AR-TF1,1,1,1,1,1,0,0,1,1,1,0,0,1,2,2,0,3,3,3,3,3,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,3,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR-TF2,1,1,1,1,1,0,0,1,1,1,0,0,1,2,2,0,3,3,3,3,3,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,3,3,3,3,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR-CMT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR-CST,1,1,1,1,1,0,0,1,1,1,0,0,1,2,2,1,0,4,4,4,4,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,3,4,4,4,4,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR-Cui,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR-Ma2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,0,1,1,1,0,1,1,1,1,2,16,16,16,0,0,1,1,0,1,1,1,1,9,9,9,9,9,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,4,0,4,4,4,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,2,2,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR-Npw,1,1,1,1,5,0,0,5,5,5,0,0,5,7,7,1,1,4,4,4,4,1,1,1,1,1,1,0,1,1,1,1,1,2,2,2,1,0,1,1,1,1,1,1,1,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
